# Constructed from biom file
#OTU ID	Mr.R.s3.14	Sc.R.VP.14	Ja.E.s4.14	Sc.E.VP.14	Mr.E.s3.14	Cp.R.VP.14	BS.VP.14	Cp.NS.VP.14	Ja.N.s4.14	Cp.E.VP.14	BS.s3.14	Mr.N.s3.14	Ja.R.s4.14	Sc.N.VP.14	Yr.E.15	Yr.B.15	Yr.N.15	Ss.R.15	Nl.B.15	Pg.E.15	Mr.R.15	At.R.15	At.E.15	Nl.E.15	Pg.R.15	Nl.R.15	Nl.N.15	Pg.N.15	Ss.E.15	At.N.15	Ja.R.15	Ss.B.15	Ss.N.15	Yr.R.15	Pg.B.15	Ja.B.15	At.B.15	Mr.N.15	Mr.E.15	Mr.B.15	taxonomy
OTU_574	82.0	5.0	3.0	5.0	65.0	7.0	9.0	6.0	16.0	5.0	13.0	50.0	10.0	15.0	6.0	20.0	11.0	5.0	17.0	2.0	8.0	10.0	1.0	34.0	26.0	3.0	18.0	16.0	0.0	9.0	4.0	62.0	16.0	5.0	16.0	8.0	7.0	3.0	24.0	9.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhodobiaceae; g__Afifella; s__
OTU_26	1950.0	1041.0	131.0	106.0	133.0	350.0	161.0	438.0	288.0	232.0	334.0	861.0	752.0	215.0	10.0	39.0	292.0	23.0	243.0	48.0	567.0	1578.0	79.0	25.0	329.0	254.0	143.0	151.0	4.0	322.0	124.0	171.0	259.0	1063.0	38.0	214.0	380.0	47.0	52.0	64.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis
OTU_3	30.0	12.0	8344.0	32.0	42.0	22.0	6.0	12.0	4.0	170.0	9.0	16.0	9.0	3.0	26.0	0.0	0.0	17.0	1.0	6.0	1.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	17.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__infantis
OTU_5	16.0	10.0	5378.0	7.0	18.0	19.0	2.0	4.0	3.0	111.0	2.0	11.0	7.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa
OTU_73	512.0	236.0	12.0	235.0	227.0	26.0	38.0	44.0	21.0	114.0	61.0	49.0	0.0	51.0	27.0	45.0	120.0	14.0	31.0	27.0	39.0	36.0	45.0	6.0	87.0	1.0	75.0	35.0	3.0	65.0	16.0	42.0	16.0	45.0	13.0	60.0	23.0	34.0	220.0	37.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
OTU_10	946.0	900.0	8.0	66.0	58.0	340.0	168.0	606.0	234.0	160.0	32.0	477.0	186.0	141.0	31.0	45.0	358.0	20.0	51.0	26.0	7.0	2758.0	73.0	4.0	173.0	50.0	113.0	169.0	2.0	89.0	196.0	44.0	441.0	1034.0	53.0	83.0	76.0	5.0	18.0	14.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae
OTU_93	11.0	6.0	207.0	1.0	2.0	3.0	11.0	7.0	6.0	8.0	8.0	5.0	5.0	18.0	3.0	3.0	4.0	32.0	3.0	2.0	4.0	0.0	21.0	45.0	4.0	10.0	3.0	3.0	0.0	1.0	1.0	9.0	7.0	0.0	1.0	11.0	0.0	1.0	2.0	1.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__
OTU_14	3.0	57.0	103.0	1910.0	157.0	8.0	5.0	1.0	6.0	404.0	8.0	4.0	12.0	9.0	0.0	0.0	0.0	13.0	15.0	63.0	14.0	0.0	65.0	1.0	8.0	58.0	3.0	0.0	0.0	2.0	0.0	2.0	0.0	16.0	2.0	0.0	0.0	0.0	54.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
OTU_4	285.0	4059.0	25.0	36.0	53.0	2257.0	5.0	13.0	9.0	81.0	18.0	12.0	762.0	10.0	13.0	4.0	6.0	14.0	3.0	15.0	0.0	458.0	454.0	5.0	83.0	862.0	10.0	6.0	6.0	3.0	6.0	2.0	6.0	1387.0	3.0	85.0	3.0	0.0	2.0	5.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter; s__
OTU_1726	0.0	0.0	0.0	1.0	8.0	0.0	1.0	0.0	7.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__
